id;nombre;departamento_id;dane_id
302;EL DONCELLO;8;18247000
305;EL ESPINO;6;15248000
307;EL GUAMO;5;13248000
287;EL BANCO;18;47245000
310;EL PASO;11;20250000
294;EL CARMEN DE CHUCURI;26;68235000
317;EL PLAYÓN;26;68255000
322;EL ROSARIO;20;52256000
318;EL RETÉN;18;47268000
325;EL TAMBO;10;19256000
326;EL TAMBO;20;52260000
328;EL ZULIA;21;54261000
330;ENCINO;26;68264000
331;ENCISO;26;68266000
356;FUNDACIÓN;18;47288000
270;CUMBITARA;20;52233000
334;ESPINAL;28;73268000
335;FACATATIVÁ;13;25269000
337;FILADELFIA;7;17272000
339;FIRAVITOBA;6;15272000
340;FLANDES;28;73275000
341;FLORENCIA;10;19290000
298;EL CHARCO;20;52250000
343;FLORESTA;6;15276000
344;FLORIÁN;26;68271000
345;FLORIDA;29;76275000
346;FLORIDABLANCA;26;68276000
349;FORTUL;3;81300000
350;FOSCA;13;25281000
312;EL PEÑOL;20;52254000
324;EL TABLÓN DE GÓMEZ;20;52258000
357;FUNES;20;52287000
358;FUNZA;13;25286000
351;FRANCISCO PIZARRO;20;52520000
360;FUSAGASUGÁ;13;25290000
362;GACHANCIPÁ;13;25295000
363;GACHANTIVÁ;6;15293000
364;GACHETÁ;13;25297000
365;GALÁN;26;68296000
392;GUACHUCAL;20;52317000
368;GAMA;13;25299000
369;GAMARRA;11;20295000
370;GÁMBITA;26;68298000
372;GARAGOA;6;15299000
